Watershed,Treatment,Block,DOCConc_2008,DOCConc_2009,DOCConc_2010,DOCLoad_2008,DOCLoad_2009,DOCLoad_2010
Basswood1,2,1,8.07862,10.18834,5.859344,0.498,2.845,10.67
Basswood2,3,1,7.039661,11.46417,4.960033,16.21,8.68,20.4
Basswood3,4,1,8.844622,7.30048,5.062809,5.011,1.025,13.64
Basswood4,4,2,7.739241,8.140839,4.841686,14.929,9.39,23.28
Basswood5,3,2,11.30989,.,4.663266,15.699,.,13.9
Basswood6,1,2,7.098514,8.279821,7.426968,20.57788917,14.17,44.08
Interim1,3,3,10.53951,10.04999,5.19019,5.854,4.925,8.67
Interim2,2,3,7.169489,8.753312,7.200144,5.567,5.268,8.808
Interim3,1,3,8.96432,9.7373,6.538804,16.53152609,13.69,29.05
Orbweaver1,2,4,9.30466,11.43483,8.427751,6.369,0.457,.
Orbweaver2,4,4,5.833558,7.256812,4.137441,3.465,1.216,9.237
Orbweaver3,1,4,7.250244,7.67486,5.013265,3.82876,0.879,12.58
